,Role,Description
370,Marketing & Communications,"MBA, MS or other advanced degree.
Extensive experience managing creative agencies in the design and development of digital campaigns across multiple geographies.
Experience successfully collaborating with cross-functional teams.
Strong leadership experience with the ability to influence within the team as well as across a broad set of cross-functional stakeholders.
Distinctive strategic thinking, problem-solving, and analytical capabilities.
Exceptional interpersonal and written/verbal communication skills."
371,Marketing & Communications,"5 years of experience in one or more verticals as a sales or Go-to-Market leader.
Significant cross-functional experience across engineering, sales and marketing teams in cloud computing or related technical fields.
Proven success working within dynamic businesses and driving breakthrough growth.
Comfortable talking about technical things with business people and business things with technical people. Able to express complex concepts in plain language to reach broader audiences.
Ability to craft a compelling message and tailor it for a given audience. Ability to mix technical acumen with simple, everyday language to deliver a story that is memorable and useful."
372,Marketing & Communications,"BA/BS degree in Architecture, Interior Design, or Environmental Design.
Strong experience using Adobe creative tools and design or CAD software/technology to visualize designs. Ability to manage electronic files and libraries for use by multiple parties.
Proven ability to perform and apply design skills, including architectural design, space planning, visual presentation development and layout, proportion and scale.
Ability to demonstrate new thinking where creative boundaries around digital and physical integration come together to deliver a rich user experience.
Ability to thrive in a rapid-paced environment on multiple projects in a start-up atmosphere. Strong tendencies to self-start and demonstrate initiative to over-deliver.
Ability to effectively communicate, lead, and manage complex projects from concept to production within associated timelines with multiple stakeholders and be able to storyboard, illustrate, or translate ideas into designs and develop innovative solutions."
373,Marketing & Communications,"MBA degree.
Strong integrated marketing experience. Proven experience in developing content, conceptualizing events, executing SEO and SEA.
Knowledgeable about educational content. Experienced at building high achieving teams. In-depth knowledge of Google business advertising products.
Proven ability to develop new strategic approaches to marketing challenges. Strong analytical skills, comfortable with audience segmentation and channel selection.
Strong executor and problem solver, who can be resourceful and creative. Proven ability to work in a fast-paced, challenging environment.
A passionate leader and communicator, with demonstrated talent at building strong collaborative partnerships internally and externally. Outstanding written and oral presentation skills; comfortable presenting to a senior audience."
374,Marketing & Communications,"Experience working for digital marketing companies.
Online advertising industry knowledge.
Demonstrated ability to work calmly and maintain good judgment in fast-paced environments.
Ability to think, plan and execute on multiple projects simultaneously in an organized fashion.
Ability to work cross-functionally with colleagues in different countries and understand cultural differences.
Proven communicator with excellent written and verbal communication skills."
375,Marketing & Communications,"Consumer Electronics experience and/or working with a major retailer
Demonstrated thought-leadership and relationship building / management with internal stakeholders and external partners.
Highly organized, have strong project management capabilities, communicate effectively and be a self-starter."
376,Marketing & Communications,"MBA or other postgraduate qualification.
B2B experience.
Experience with online advertising, SEO, PPC, social media and/or mobile.
Ability to communicate effectively with both business and technical counterparts, with particular expertise in the skill of expressing, in detail, the tracking needs to be implemented/developed."
377,Marketing & Communications,"Leadership experience developing business plans, building executive relationships and liaising with cross functional stakeholders.
Experience in customer experience retail and technology businesses.
Experience with launching and marketing consumer electronics products in retail globally.
Experience in consulting or corporate strategy.
Ability to manage several priorities and complex global projects simultaneously."
378,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Strong, clear writing style and excellent editing skills."
379,Marketing & Communications,"Solid project management experience, ability to define projects, execute within timelines, with multiple stakeholders and proven ability to deliver projects on time and to budget.
Experience working with partners and stakeholders at various levels with the ability to effectively influence and communicate cross-functionally with all levels of management.
Experience managing budgets, purchase orders and drafting legal documents (SOWs, etc.). Experience working with agencies and vendors.
Exceptional verbal and written communication skills. Ability to build and maintain constructive working and communications relationships with a diverse community of technical and non-technical audiences.
Strong analytical, problem-solving, negotiation and organizational skills."
380,Marketing & Communications,"Experience in sales, customer support, account management, marketing or consulting.
Demonstrated experience in managing and customizing experience to a customer base.
Experience with leading, motivating and working well with others.
Ability to work effectively as part of a team.
Proven ability to multi-task and manage multiple projects at a time while paying attention to detail.
Proactive, independent worker who is highly organized and interested in the difference they can make through their individual contribution."
381,Marketing & Communications,"Experience with measuring and optimizing online advertising, SEO, PPC, social media and/or mobile.
Knowledge of JavaScript visualization libraries, Bootstrap UI library, Google Analytics implementation libraries, APIs and AJAX/REST-based queries.
Demonstrated experience applying data visualization best practices, including experience with data visualization platforms (Data Studio, Tableau).
Ability to communicate with both business and technical counterparts, particularly the skill of expressing in detail the tracking needs to be implemented/developed and the logic behind it."
382,Marketing & Communications,"Experience in planning, delivering and actioning on marketing campaigns, creative strategies and associated measurement and analysis.
Experience in Sales, Consulting, Media and/or Advertising.
Ability to work in a fast-paced and dynamic environment.
Demonstrated ability to think strategically about complex issues and to develop recommendations and action plans, with excellent analytical skills.
Excellent communication and influencing skills, with the ability to present comprehensive advertising solutions."
383,Marketing & Communications,"3 years of experience working in a function or company focused on mobile, ecommerce or gaming, and aligned with apps or one of the other Play store vertical offerings.
Demonstrated passion for developing and executing on creative marketing campaigns.
Demonstrated record of successfully collaborating with multiple stakeholders within an organization, and in influencing without authority on strategies and campaigns.
Effective analytical skills, with the ability to analyze research or performance data and to apply that analysis to optimize editorial strategy."
384,Marketing & Communications,"Experience in influencing through robust relationships, expertise and data.
Effective written and verbal communication skills, with the ability to write in the Google voice and with tact and diplomacy.
Creative problem-solver, with the ability to think, plan, and execute on multiple projects autonomously and in an organized fashion, balancing the long-term and urgent needs of the team.
Demonstrated ability to work calmly and collaboratively in fast-paced and ambiguous environments, maintaining good judgment and the ability to escalate appropriately.
Ability to manage a complex set of stakeholders."
385,Marketing & Communications,"5 years of relevant work experience analyzing product, customer, market dynamics, and opportunities in the analytics and search advertising space.
Experience in Marketing or in a management consulting firm.
Understanding of the search, online advertising and/or web publishing market; penchant for analyzing products, customers and market dynamics with strong aptitude for determining the optimal way to position products in the market.
Strong analytical skills and proven track record of managing ROI campaigns and measurements."
386,Marketing & Communications,"MBA degree.
Understanding of the fundamentals of subscriptions businesses and a natural talent for data and analysis.
Ability to develop strategic marketing plans and execute campaigns that drive business goals.
A passion for music and/or previous music marketing experience. Ability to utilise consumer research and data to drive actionable insights to inform marketing strategy and improve the consumer experience.
A passionate leader and communicator, with demonstrated talent at building strong collaborative partnerships with product partners and other cross-functional teams.
Ability to influence effectively cross-functionally across all levels of management including VP and C-suite. Ability to work on multiple projects simultaneously in a fast paced dynamic environment."
387,Marketing & Communications,"Experience in tracking marketing initiatives.
Experience in hiring and leading external vendors to accomplish successful marketing initiatives such as content programs, events, and media campaigns.
Understanding of the digital and mobile landscape in Latin America.
Excellent stakeholder management and presentation skills."
388,Marketing & Communications,"Experience conducting quantitative analyses that have driven valuable change or optimization in a business context.
Experience conducting quantitative analyses that have driven valuable change or optimization in a business context.
Ability to present results of complex analysis compellingly to both technical and non-technical audiences at an executive level.
Demonstrated problem-solving, strategic, organizational and analysis skills, combined with strong business judgment."
389,Marketing & Communications,"Experience working with and selling via online and reseller partners.
Experience working in the business technology market, and experience planning and executing multiple co-marketing programs including budget management.
Knowledge of platforms such as Python, PHP, .NET, Java and Cloud technologies like Amazon Web Services and Azure.
Familiarity with marketing and web analytics, CRM systems (Salesforce.com or similar), with an understanding of the enterprise software purchase, development and implementation cycles.
Effective project management skills and experience, including managing external creative agencies, events vendors and international projects.
Strong technical acumen, with the ability to interact with highly technical people and technologies."
390,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Strong, clear writing style and excellent editing skills."
391,Marketing & Communications,"Experience in the music industry, with an understanding of how the music industry works and its relationship with YouTube and music streaming.
Innovative leader, with the ability to manage teams to create constantly evolving social music strategies and breakthrough marketing.
Existing relationships, models and best practices from previous experience."
392,Marketing & Communications,"2 years of experience in customer reference, marketing or corporate communications.
Demonstrated ability to manage global agency resources and ensure global initiatives are represented in strategic regions.
Ability to build relationships with internal and external constituents (customers, sales, product teams, etc.) in a fast-paced environment.
Interest in Cloud technologies and collaboration software.
Excellent project management, analytical and written/spoken communication skills."
393,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Excellent editing and writing skills."
394,Marketing & Communications,"Industry experience in apps or games.
Developer outreach experience.
Event content development or management experience/involvement
Good understanding of Google's strategic and competitive position pertaining to Android and Google Play.
Track record in developing effective business and competitive positioning and messaging for technical products.
Strong organizational, leadership, and analytical skills."
395,Marketing & Communications,"10 years of enterprise technology event experience in a high-growth and fast-paced environment.
Experience managing multi-million dollar budgets and organizing conferences with 2500 or more attendees. Proven experience in large-scale enterprise event track-building and execution.
Exceptional project management skills and experience, including managing multiple internal stakeholders, external creative agencies, events vendors, and international projects.
Independent, self-starter who can prioritize and drive deliverables to execution with minimal supervision. In-depth knowledge of enterprise software technology across the entire stack and a desire to learn new technologies.
Ability to gracefully deal with senior executives at the highest level as well as orchestration of overall event program across the Google Cloud and cross-functional teams.
Extremely detail oriented and able to handle ambiguity. Innovative and fresh thinking for event experiences for Google to standout in the market. Excellent written and presentation skills."
396,Marketing & Communications,"BA/BS degree in English or Journalism.
8 years of experience in online content production, editing, or marketing communications for consumer-focused communications.
Demonstrated understanding of user experience principles, rich media and social media.
Experience writing inspiring, benefit-oriented, consumer-focused copy.
Excellent communication and interpersonal skills; ability to build strong relationships with cross functional partners and to mentor junior team members.
Excellent problem-solving skills and impeccable business judgment."
397,Marketing & Communications,"Experience with spreadsheet software.
Understanding of design and life cycle development of business dashboards/reports.
Ability to translate data into insights and craft executive level presentations.
Ability to fully comprehend new processes and systems quickly in order to extract and prepare required datasets for analytics.
Demonstrated time and project management skills.
Excellent critical thinking and written/verbal communication skills."
398,Marketing & Communications,"Experience delivering sales, product marketing and technical customer engagement initiatives at scale.
Experience delivering content and programming for customers at executive briefing centers or similar.
Presentation delivery and meeting facilitation experience.
Experience leading customer engagement programs with C-suite customers.
Understanding of the cloud industry and enterprise customer scale requirements, and strong understanding of Google’s Cloud products and solutions.
Excellent written/verbal communication skills and ability to influence others."
399,Marketing & Communications,"MBA degree.
Experience in partner marketing with quantifiable results
Demonstrated ability to design end-to-end marketing strategy and full funnel integrated marketing campaigns with channel partners
Ability to develop collaborative cross-functional relationships with stakeholders"
400,Marketing & Communications,"Ability to work with colleagues in different countries and understand cultural differences.
Ability to focus and prioritize on a variety of updates and announcements.
Creativity in both proactive and reactive communications’ approaches; ability to adapt quickly depending on the circumstance.
Strong media relations skills and relationships in order to help shape a story.
Clear written and verbal communicator with the ability to tailor messages to the appropriate audiences."
401,Marketing & Communications,"Experience in marketing with IoT or streaming analytics technology.
Experience in building creative assets and marketing content.
Experience in planning and actioning multiple, complex marketing programs including budget management.
Demonstrated ability as a product or technology advocate, with the ability to collaborate with engineering and marketing teams.
Excellent communication and organizational skills."
402,Marketing & Communications,"Ability to effectively operate in a fast-paced environment and to work on multiple projects simultaneously in a dynamic and constantly evolving context.
Demonstrated ability to develop strategy and business plans and effectively influence external partners.
Effective leadership, and written and oral communication skills.
Excellent problem solving skills with a high degree of analytical rigor."
403,Marketing & Communications,"2 years of experience in a corporate communications environment.
Demonstrate ability to operate and maintain good judgment in fast-paced, dynamic environments.
Effective writing and communication skills.
Effective team player who can lead efforts across disciplines."
404,Marketing & Communications,"Direct experience in content policy matters.
Ability to apply deep subject knowledge in the external policy-making environment.
Team player and strong cross-functional leader, with flexibility, a sense of humor and the ability to exercise good judgment in a rapidly changing environment.
Familiarity with Internet technologies and the related policy environments.
Strong analytical skills and ability to convey trends and data analysis in verbal and visual mediums.
Strong written and spoken communications skills."
405,Marketing & Communications,"Experience with design advocacy
Experience in the games industry.
Familiarity with real time 3D rendering and game engines like Unity and Unreal."
406,Marketing & Communications,"MBA, Master's degree or PhD.
Experience with advanced product and/or program management.
Experience with a range of policies and direct knowledge of the technology sector or the key issues impacting the Web.
Experience using data and technology to solve complex business problems coupled with a proven ability to exercise judgment even in a crisis.
Experience working with a broad array of cross-functional stakeholders.
Excellent communication, presentation and interpersonal skills."
407,Marketing & Communications,"Graphic design abilities with excellent creative and visual skills, including slide design, with experience using Google Slides or other presentation software.
Demonstrated ability to work calmly and maintain good judgment in fast-paced, high-stress environments.
Effective team player who can lead efforts across disciplines.
Proven communicator - excellent written and verbal communications skills."
408,Marketing & Communications,"5 years of experience in one or more verticals as a sales or Go-to-Market leader.
Significant cross-functional experience across engineering, sales and marketing teams in cloud computing or related technical fields.
Proven success working within dynamic businesses and driving breakthrough growth.
Comfortable talking about technical things with business people and business things with technical people. Able to express complex concepts in plain language to reach broader audiences.
Ability to craft a compelling message and tailor it for a given audience. Ability to mix technical acumen with simple, everyday language to deliver a story that is memorable and useful."
409,Marketing & Communications,"Experience building teams and managing agencies to deliver groundbreaking results
Deep understanding of front-end and back-end technology and programming languages, particularly CSS (SASS), JavaScript (AngularJS) and Python
Ability to define, manage, and deliver projects that showcase the best of creative technology.
A collaborative approach that fits with the Google spirit, and a bias to building relationships"
410,Marketing & Communications,"Graphic designer with excellent creative and visual skills, including slide design, with experience using Google Slides or other presentation software.
Demonstrates ability to work calmly and maintain good judgment in fast-paced, high-stress environments.
Effective team player who can lead efforts across multiple disciplines."
411,Marketing & Communications,"MBA or Master's degree.
Experience working with SMBs in Mexico with an understanding of their needs and challenges.
Experience collaborating with multiple Sales stakeholders.
Knowledge of AdWords, with expertise in the digital and agency market in Mexico.
Ability to operate strategically, analyze complex problems, execute effectively, and deliver high quality projects towards strategic goals.
Effective communication and interpersonal skills, including both professional and casual style of communication."
412,Marketing & Communications,"Experience writing SQL queries and working with statistical analysis packages.
Experience distilling complex data into simple concepts, designing and operationalizing research projects to gain business insights, managing third party research agencies, conducting data analysis.
Technical skills combined with a curiosity and passion for storytelling and marketing.
Distinctive analytical skills, creativity, a strategic mindset and keen business acumen."
413,Marketing & Communications,"MBA or other advanced degree.
Experience in B2B marketing, and experience developing customer-facing content, including sales presentations, datasheets, and websites.
Understanding of Google's strategic and competitive position within Cloud technologies.
Demonstrated ability to develop creative/non traditional solutions.
Ability to travel up to 25% of the time."
414,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Excellent editing and writing skills."
415,Marketing & Communications,"Experience with marketing communications.
Demonstrated ability to work efficiently and maintain good judgment in a fast-paced dynamic environment.
Ability to be work both independently and collaboratively across teams.
Ability to interact with executives with confidence, and to provide advice on their communications that reflect an understanding of their business and leadership style.
Excellent written/verbal communication and visual presentation skills."
416,Marketing & Communications,"Proven project management skills and experience, e.g. managing external creative agencies, events vendors and international projects. Ability to create effective relationships to influence, and collaborate, across all levels.
Experience with defining and launching successful enterprise software lead/demand generation paid media campaigns.
Familiarity with CRM systems (Salesforce.com or similar) and Marketing Automation tools (Marketo or similar) and tracking tools to assess campaign effectiveness.
Strong knowledge of measurement approaches (including multi-touch attribution) ad operations and the digital video and overall display landscapes.
Distinctive problem-solving, strategic and analytical capabilities, with ability to run analysis, track metrics and optimize performance. Expertise with marketing optimization programs and website analytics.
Skilled communicator with strong written and verbal communication skills, including both professional and casual style of communication."
417,Marketing & Communications,"Experience in influencing through robust relationships, expertise and data.
Effective written and verbal communication skills, with the ability to write in the Google voice and with tact and diplomacy.
Creative problem-solver, with the ability to think, plan, and execute on multiple projects autonomously and in an organized fashion, balancing the long-term and urgent needs of the team.
Demonstrated ability to work calmly and collaboratively in fast-paced and ambiguous environments, maintaining good judgment and the ability to escalate appropriately.
Ability to manage a complex set of stakeholders."
418,Marketing & Communications,"Experience growing qualified traffic to the product website, increasing rankings and share through multiple channels: SEO (on- and off-page), content marketing, SEM, social, referral, etc.
Experience creating and executing successful advertising campaigns. Able to demonstrate measurable impact of campaign strategy and digital media optimization toward business goals.
Strong analytical acumen and data-driven mindset towards decision-making in order to define strategy, spark growth, and fuel long-term impact.
Demonstrated strong self-starter and bias to action, able to form and leverage strong relationships across functional areas, and sense of urgency."
419,Marketing & Communications,"MBA degree.
Professional experience in the consumer internet, hardware and/or media space.
Demonstrated ability to work with initiative, provide breakthrough thinking and strategy, and function effectively in highly dynamic environments.
Effective organizational, analytical, and written and oral communication skills."
420,Marketing & Communications,"Knowledge of Online Marketing and Google Business Advertising products.
Ability to influence effectively cross-functionally across all levels of management.
Ability to work on multiple projects simultaneously in a fast-paced, dynamic environment.
Experience working in the startup community (working for a VC, startup, accelerator, etc).
Excellent collaboration and communication skills. A passionate leader and communicator, with demonstrated talent at building collaborative partnerships.
Effective business acumen and analytical skills with a natural talent for data and analysis."
421,Marketing & Communications,"Experience with Google Analytics.
Experience building relationships with senior product leaders, influencing product decisions and driving cross-functional alignment on go-to-market plans.
Ability to understand complex products, scope launch timing requirements, and manage multiple work streams simultaneously through to completion.
Ability to simplify complex information in order to present to a wide range of audiences.
Excellent problem solving, analysis, presentation and written/verbal communication skills."
422,Marketing & Communications,"MBA or graduate degree in a management, technical or engineering field.
Experience in spreadsheet modeling or statistical analysis.
Demonstrated ability to develop marketing strategies and business plans, as well as analyzing customer and market insights and market spend effectiveness.
Distinctive problem-solving and analytic skills with a high degree of analytical rigor."
423,Marketing & Communications,"Broad policy experience with direct knowledge of the tech sector or the key issues impacting the web, like privacy, free expression, internet access and online safety.
Team player who can work with people from a broad range of backgrounds and experience, including leading campaigns and mentoring members of the team.
Strategic planning and building alliances on innovation and entrepreneurship.
Creative and imaginative.
Familiar with the region.
Excellent communicator with great interpersonal and presentation skills, as well as the ability to write well and translate complex issues into simple language that people who are not experts can understand."
424,Marketing & Communications,"Experience planning and executing multiple, complex marketing programs including budget management.
Experience working collaboratively across multiple Engineering and Marketing teams.
Demonstrated ability as a product or technology advocate.
Effective communication and organizational skills."
425,Marketing & Communications,"Experience with statistical and quantitative modeling (e.g. regression, classification, clustering, etc).
Experience working with a software development version control system (e.g, Perforce, Git, etc).
Effective communication skills."
426,Marketing & Communications,"Experience with 3D programs design and motion.
Ability to solve problems through design and understand the live experience space.
Ability to communicate concepts and iterate on designs, and work collaboratively with other members of the events team, product teams, and agencies in order to develop the most efficient design schemas.
Ability to contribute in a cross-functional environment."
427,Marketing & Communications,"MFA degree in Design
7 years of experience at a design firm/agency working on iconic global brands
Smart, bold, and accessible sense of design, with advanced skill in Adobe’s creative suite, sketch and a portfolio of original and breakthrough ideas
Strong understanding of interactive platforms ranging from web to CRM
Interest in world-changing leaps in technology, along with a healthy disrespect for the impossible
Extreme attention to detail and consistency and highly organized and ability to balance multiple simultaneous projects"
428,Marketing & Communications,"Relevant work experience in merchandising, marketing, or partnerships in digital content
Experience with vendor/agency relationships
People management experience/skills.
Proficient in spreadsheet software. Comfort with shortcuts, pivot table, vlookup, etc.
Track record for meeting critical deadlines and enthusiastically approaching challenges.
Ability to influence without authority, working cross-functionally to get things done"
429,Marketing & Communications,"Experience designing, building, and launching successful B2B enterprise software lead and demand generation campaigns.
Expertise with ABM tactics as well as email, search, display and social marketing techniques.
Strong knowledge of measurement approaches including multi-touch attribution.
Problem-solver with the ability to run analyses, track metrics, and find creative ways to optimize performance. Expertise with marketing optimization programs and website analytics.
Proven project management skills, e.g. managing cross-functional teams, external creative and media agencies, and marketing vendors. Ability to create effective relationships to influence and collaborate, across all levels."
430,Marketing & Communications,"Graphic design abilities with excellent creative and visual skills, including slide design, with experience using Google Slides or other presentation software.
Demonstrated ability to work calmly and maintain good judgment in fast-paced, high-stress environments.
Effective team player who can lead efforts across disciplines.
Proven communicator - excellent written and verbal communications skills."
431,Marketing & Communications,"Experience telling brand value stories and addressing creative quandaries (e.g.privacy and security, cloud computing, customer stories).
Ability to advise others on company-specific formatting and writing/grammatical standards.
Demonstrated ability to work optimistically, and maintain good judgment in fast-paced environments.
Conceptual, optimistic and creative, willing to take risks and try new approaches."
432,Marketing & Communications,"Experience managing results driven advertising campaigns for large, complex clients with proficiency in online measurement, operations, ad networks, DSPs, digital video and/or Google platforms.
Experience influencing stakeholders to implement recommendations
Knowledge of online products, user behavior and product analytics tool.
Demonstrated ability to structure analyses and draw data-driven insights."
433,Marketing & Communications,"Experience in marketing with IoT or streaming analytics technology.
Experience in building creative assets and marketing content.
Experience in planning and actioning multiple, complex marketing programs including budget management.
Demonstrated ability as a product or technology advocate, with the ability to collaborate with engineering and marketing teams.
Excellent communication and organizational skills."
434,Marketing & Communications,"Experience working for digital marketing companies.
Knowledge of the online advertising industry.
Demonstrated ability to operate efficiently and maintain good judgment in fast-paced environments.
Ability to think, plan and execute on multiple projects simultaneously in an organized fashion.
Ability to work cross-functionally with colleagues in various countries and an understanding of cultural differences.
Effective written and verbal communication skills."
435,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Strong, clear writing style and excellent editing skills."
436,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Strong, clear writing style and excellent editing skills."
437,Marketing & Communications,"Understanding of Google's strategic, competitive position, search, online advertising, or web publishing markets.
Excellent problem solving and analytical skills with a high degree of analytical rigor.
Solid organizational skills with ability to manage and coordinate projects that span multiple locations.
Passion for mobile gaming.
Outstanding written and oral communication skills in Japanese and English."
438,Marketing & Communications,"Experience working in function or company focused on mobile gaming.
Ability to analyze research or performance data and analyses to optimize merchandising strategy.
Ability to work with partners to develop co-promotion or cross-promotion strategies and campaigns.
Ability to advise on strategies and product requirements to enhance merchandising capabilities.
Effective analytical and communication skills, with a collaborative working approach."
439,Marketing & Communications,"Experience in marketing with IoT or streaming analytics technology.
Experience in building creative assets and marketing content.
Experience in planning and actioning multiple, complex marketing programs including budget management.
Demonstrated ability as a product or technology advocate, with the ability to collaborate with engineering and marketing teams.
Excellent communication and organizational skills."
440,Marketing & Communications,"Experience working for digital marketing companies.
Online advertising industry knowledge.
Demonstrated ability to work calmly and maintain good judgment in fast-paced environments.
Ability to think, plan and execute on multiple projects simultaneously in an organized fashion.
Ability to work cross-functionally with colleagues in different countries and understand cultural differences.
Proven communicator with excellent written and verbal communication skills."
441,Marketing & Communications,"Experience in Computer Science or development.
Experience in project management; managing external creative agencies, events vendors and international projects.
Experience planning and executing multiple, complex marketing programs including budget management.
Knowledge of platforms such as Python, PHP, .NET, Java and cloud technologies.
Familiarity with marketing and web analytics, CRM systems (Salesforce or similar) and tracking tools to assess campaign effectiveness.
Ability to communicate technical concepts to technical and non-technical audiences. Ability to interact effectively with technical people and technologies."
442,Marketing & Communications,"Experience in producing large scale live events.
Background in creative visual storytelling and experience with live show and video production, with a passionate for brands, stories, ideas, events, theatre, environments and live/physical design.
Experience either on the agency side producing large scale events or background in theatre production.
Strong leadership and executive presence and experience interfacing with and influencing senior leaders.
Ability to motivate and encourage others towards a common goal.
Self-motivated and articulate. Demonstrated and exceptional communication (both verbal and written), interpersonal and organizational skills."
443,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Excellent editing and writing skills."
444,Marketing & Communications,"Computer Science or development experience.
Experience managing external creative agencies, events vendors, and international projects.
Experience in the business technology market and expertise in working closely with channel partners or partner organization to develop business.
Understanding of the enterprise software purchase, development and implementation cycles.
Strong project management skills.
Excellent quantitative reasoning, creativity and strategic skills."
445,Marketing & Communications,"Global experience in launching and maintaining new products and platforms.
Demonstrated experience working with Product Management and Engineering teams and experience working within cross-functional PM/Engineering teams to scope requirements, build and rollout new product features and capability for a user-facing commercial organization.
Strong user focus and experience in delivering high-quality user experiences.
Knowledge of and experience with eCommerce and global/regional best practices.
Ability to advise on strategies and product requirements to enhance platform-level merchandising capabilities.
Strong analytical skills; ability to analyze research or performance data, develop insights and apply insights to optimize Merchandising strategy."
446,Marketing & Communications,"5 years of building social presence for a global consumer brand
Successful track record of building strong social momentum and adoration for brands
Proven track record of demonstrating impact of social marketing programs against business goals
Ability to influence at all levels and work effectively across functions and geographies. Ability to lead non-hierarchical, cross-functional working teams who don’t report into this role.
Ability to lead and collaborate with creative, social, and media agencies; knows how to inspire and align different agencies to our vision and goals"
447,Marketing & Communications,"Knowledge and/or practical experience with Content Management Systems, HTML, JS, Angular, Android, Marketo, Salesforce, web apps, payment systems and API integration.
Experience with scoping and managing the build of marketing sites and/or event sites.
Ability to scope projects, write briefs, build schedules, write SOWs, and open POs (experience working with task management and productivity suites).
Effective leadership, communication, analytical, quantitative reasoning, problem solving, creativity and strategic skills.
Ability to work in an agile work environment."
448,Marketing & Communications,"MBA degree in a related field.
Experience developing and executing marketing strategy successfully while collaborating cross-functionally and building consensus.
Experience in planning and rolling out large-scale/global marketing campaigns, with the ability to identify and implement scalable process improvements using a data-driven approach.
Proven problem-solving and analytical capabilities, with the ability to develop creative/non-traditional solutions for challenging, undefined problems.
Passion for working with technology products and solving consumer needs."
449,Marketing & Communications,"Experience working for digital marketing companies.
Online advertising industry knowledge.
Demonstrated ability to work calmly and maintain good judgment in fast-paced environments.
Ability to think, plan and execute on multiple projects simultaneously in an organized fashion.
Ability to work cross-functionally with colleagues in different countries and understand cultural differences.
Proven communicator with excellent written and verbal communication skills."
450,Marketing & Communications,"Experience working for digital marketing companies.
Knowledge of the online advertising industry.
Demonstrated ability to operate efficiently and maintain good judgment in fast-paced environments.
Ability to think, plan and execute on multiple projects simultaneously in an organized fashion.
Ability to work cross-functionally with colleagues in various countries and an understanding of cultural differences.
Effective written and verbal communication skills."
451,Marketing & Communications,"MS or PhD in a related field with a quantitative emphasis.
Experience in consumer insights, advertising effectiveness research and audience measurement (including online advertising) with a wide variety of methodologies.
Ability to manage international projects.
Deep interest in online advertising, digital media consumption patterns and branding measurement.
Demonstrated leadership and project management skills."
452,Marketing & Communications,"Established media relationships and a solid understanding of cloud technologies.
Strong sense of accountability and ownership, combined with ability to delegate, motivate and develop team members.
Ability to deliver high quality work while managing multiple projects.
Strong research and analytical skills, with the ability to quickly identify trending topics and issues with a defined point of view.
Ability to engage with senior executives and leadership teams with excellent written and verbal communications skills.
Strong, clear writing style and excellent editing skills."
